Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
gas tank 3kg,,1,,,11,36.3636,15,,1,0,1,0,1,,-47,,,,,
gas tank 5kg,,2,,,14,42.8571,20,,1,0,1,0,1,,-105,,,,,
gas tank 7kg,,3,,,25,40,35,,1,0,1,0,1,,186,,,,,
gas tank 9kg,,4,,,33,36.3636,45,,1,0,1,0,1,,-33,,,,,
gas tank 15kg,,5,,,42,30.9524,55,,1,0,1,0,1,,-12,,,,,
cooker top,,6,,,2.1,138.0952,5,,1,0,1,0,1,,-222,,,,,
9kg gas regulator,,7,,,2,150,5,,1,0,1,0,1,,-46,,,,,
3/5 kg gas regulator,,8,,,2,150,5,,1,0,1,0,1,,-232,,,,,
gas pipe per metre,,9,,,0.4,150,1,,1,0,1,0,1,,-504.5,,,,,
bar chairs,,10,,,42,42.8571,60,,1,0,1,0,1,,-4,,,,,
B-3 row chair,,11,,,24,66.6667,40,,1,0,1,0,1,,-4,,,,,
net chair,,12,,,23,73.913,40,,1,0,1,0,1,,-3,,,,,
4 men camping tent,,13,,,34,42.8571,48.57,,1,1,1,0,1,,-8,,,,,
camping tent small,,14,,,12,66.6667,20,,1,0,1,0,1,,-3,,,,,
folding bed,,15,,,45,33.3333,60,,1,0,1,0,1,,-1,,,,,
folding chair,,16,,,33,51.5152,50,,1,0,1,0,1,,0,,,,,
Sleeping bag,,17,,,12.5,60,20,,1,0,1,0,1,,0,,,,,
gas scale 300kg,,18,,,45,33.3333,60,,1,0,1,0,1,,-2,,,,,
fridge XTL-158D,,19,,,300,13.3333,340,,1,0,1,0,1,,-6,,,,,
fridge XTL-108D,,20,,,240,25,300,,1,0,1,0,1,,0,,,,,
DEFY dc fridge 200l,,21,,,330,21.2121,400,,1,0,1,0,1,,-1,,,,,
upright masters,,22,,,145,17.2414,170,,1,0,1,0,1,,-2,,,,,
ecco upright fridge small,,23,,,90,38.8889,125,,1,0,1,0,1,,-4,,,,,
NNS NS-8139LS,,24,,,7.6,97.3684,15,,1,0,1,0,1,,-6,,,,,
NNS NS-920SL,,25,,,8,87.5,15,,1,0,1,0,1,,-11,,,,,
NNS NS-6693S,,26,,,7.6,97.3684,15,,1,0,1,0,1,,-16,,,,,
keson KS-307BT-S,,27,,,7.6,97.3684,15,,1,0,1,0,1,,-1,,,,,
NS 6633BT,,28,,,21.3,64.3192,35,,1,0,1,0,1,,-1,,,,,
NNS NS-6676 BT,,29,,,6,100,12,,1,0,1,0,1,,-4,,,,,
keson KS-1717D,,30,,,7.2,66.6667,12,,1,0,1,0,1,,-4,,,,,
EPE FP-287-S,,31,,,6.8,76.4706,12,,1,0,1,0,1,,0,,,,,
NNS NS-8891BT,,32,,,6,100,12,,1,0,1,0,1,,-2,,,,,
NNS NS-8107BT,,33,,,7,71.4286,12,,1,0,1,0,1,,-3,,,,,
rechargeble head light GF-999,,34,,,3.3,142.4242,8,,1,0,1,0,1,,-3,,,,,
multifunction searching light WS120,,35,,,13,92.3077,25,,1,0,1,0,1,,-9,,,,,
DSTV dercoder,,36,,,35,28.5714,45,,1,1,1,0,1,,-24,,,,,
MTY solar flood light 60w,,37,,,24,45.8333,35,,1,0,1,0,1,,-3,,,,,
solar flood light GD 200w,,38,,,28,42.8571,40,,1,0,1,0,1,,0,,,,,
water heater,,39,,,1.7,194.1176,5,,1,0,1,0,1,,-3,,,,,
ceedye adapter socket extension,,40,,,3.5,100,7,,1,0,1,0,1,,-29,,,,,
VS-6586B 5 way surge adapter,,41,,,2.8,150,7,,1,0,1,0,1,,-26,,,,,
macce 26'' bicycle,,42,,,63,34.9206,85,,1,0,1,0,1,,-11,,,,,
yinge 26'' bicycle,,43,,,69,37.6812,95,,1,0,1,0,1,,-14,,,,,
yinge 26'' bicycle with carrier,,44,,,63,34.9206,85,,1,0,1,0,1,,-11,,,,,
wiley 20'' bicycle,,45,,,48,35.4167,65,,1,0,1,0,1,,-45,,,,,
BSL 10'' bicycle,,46,,,36,52.7778,55,,1,0,1,0,1,,0,,,,,
jiluke 12'' bicycle,,47,,,32,40.625,45,,1,0,1,0,1,,-34,,,,,
macce 26'' bicycle with carrier,,48,,,72,18.0556,85,,1,0,1,0,1,,-3,,,,,
chaffing dish,,49,,,15,66.6667,25,,1,1,1,0,1,,-2,,,,,
super kids premer,,50,,,37,48.6486,55,,1,1,1,0,1,,-2,,,,,
kangbeiqi,,51,,,42,42.8571,60,,1,0,1,0,1,,-2,,,,,
water glass,,52,,,3.8,110.5263,8,,1,0,1,0,1,,-1,,,,,
dyllu extension cable DT-EJ-8380,,53,,,36.6,36.612,50,,1,0,1,0,1,,-1,,,,,
luqman gasoline generator,,54,,,120,16.6667,140,,1,0,1,0,1,,-2,,,,,
astrakoera gasoline generator,,55,,,135,11.1111,150,,1,0,1,0,1,,-6,,,,,
